Lịch ID,Fitness
1202,4.6
1203,4.2
1204,5.8
1205,2.0
1206,3.8
1207,5.4
1208,3.8
1209,4.2
1210,6.6
1211,4.2
1212,3.8
1213,3.8
1214,4.6
1215,5.4
1216,3.8
1217,4.2
1218,4.2
1219,4.2
1220,2.2
1221,5.0
1222,4.2
1223,5.0
1224,4.2
1225,5.0
1226,3.4
1227,5.4
1228,4.6
1229,4.6
1230,3.4
1231,4.2
1232,4.2
1233,5.0
1234,3.4
1235,5.4
1236,3.8
1237,3.4
1238,4.2
1239,4.6
1240,4.2
1241,2.6
1242,4.2
1243,3.8
1244,4.2
1245,4.2
1246,3.8
1247,5.0
1248,3.0
1249,5.0
1250,4.0
1251,3.4
1252,4.2
1253,4.6
1254,4.2
1255,4.6
1256,4.0
1257,2.6
1258,3.0
1259,5.4
1260,4.2
1261,5.0
1262,4.2
1263,4.6
1264,3.4
1265,4.6
1266,3.8
1267,5.0
1268,3.4
1269,4.6
1270,4.6
1271,2.6666666666666665
1272,4.6
1273,4.2
1274,4.2
1275,3.0
1276,5.4
1277,5.0
1278,4.6
1279,3.0
1280,3.0
1281,4.6
1282,4.6
1283,3.8
1284,3.4
1285,4.2
1286,3.0
1287,3.8
1288,2.2
1289,3.0
1290,3.8
1291,4.2
1292,4.6
1293,4.6
1294,5.4
1295,3.8
1296,3.8
1297,4.2
1298,4.6
1299,4.2
1300,3.8
1301,5.0
1302,3.8
1303,4.2
1304,4.2
1305,3.8
1306,3.8
1307,3.8
1308,5.8
1309,4.6
1310,5.0
1311,4.2
1312,4.6
1313,3.8
1314,4.6
1315,3.4
1316,4.6
1317,3.8
1318,4.2
1319,4.2
1320,3.8
1321,3.4
1322,3.6666666666666665
1323,4.6
1324,4.2
1325,2.6
1326,4.6
1327,4.2
1328,3.4
1329,4.2
1330,3.8
1331,4.6
1332,4.2
1333,3.4
1334,3.4
1335,5.4
1336,1.8
1337,4.2
1338,4.6
1339,4.6
1340,4.2
1341,4.6
1342,3.4
1343,4.2
1344,4.6
1345,4.2
1346,4.2
1347,4.2
1348,4.6
1349,3.0
1350,3.0
1351,5.8
1352,4.2
1353,5.0
1354,3.8
1355,5.0
1356,5.0
1357,4.2
1358,4.2
1359,4.2
1360,4.2
1361,3.4
1362,4.6
1363,1.8
1364,5.4
1365,2.6666666666666665
1366,4.2
1367,4.6
1368,3.8
1369,5.0
1370,5.0
1371,4.0
1372,5.0
1373,4.2
1374,4.6
1375,3.0
1376,4.2
1377,5.4
1378,5.8
1379,4.2
1380,2.6666666666666665
1381,5.0
1382,3.0
1383,3.8
1384,3.4
1385,3.8
1386,5.4
1387,3.0
1388,4.6
1389,5.4
1390,5.0
1391,4.2
1392,4.6
1393,4.2
1394,4.6
1395,3.4
1396,3.4
1397,3.8
1398,2.6
1399,3.0
1400,4.6
1401,2.6
1402,4.2
1403,3.8
1404,4.6
1405,3.3333333333333335
1406,4.6
1407,4.6
1408,3.4
1409,3.4
1410,4.6
1411,3.4
1412,3.8
1413,4.6
1414,3.8
1415,3.0
1416,5.4
1417,5.0
1418,4.2
1419,5.8
1420,3.0
1421,5.0
1422,4.6
1423,4.6
1424,4.2
1425,3.4
1426,3.8
1427,2.6
1428,3.4
1429,4.2
1430,5.0
1431,3.0
1432,2.6
1433,5.4
1434,5.4
1435,2.2
1436,3.4
1437,4.2
1438,3.8
1439,5.4
1440,5.0
1441,4.6
1442,3.4
1443,5.0
1444,4.6
1445,3.8
1446,3.8
1447,4.6
1448,2.0
1449,5.4
1450,3.6666666666666665
1451,3.6666666666666665
1452,4.6
1453,5.0
1454,5.8
1455,5.0
1456,1.8
1457,4.6
1458,5.0
1459,4.2
1460,3.0
1461,3.8
1462,4.6
1463,3.8
1464,3.3333333333333335
1465,3.4
1466,5.0
1467,4.6
1468,5.0
1469,5.0
1470,5.8
1471,3.4
1472,4.2
1473,5.0
1474,3.4
1475,5.0
1476,3.8
1477,3.8
1478,3.8
1479,3.8
1480,3.4
1481,3.8
1482,3.3333333333333335
1483,5.4
1484,4.6
1485,2.6
1486,4.2
1487,4.6
1488,4.2
1489,4.6
1490,3.8
1491,3.6666666666666665
1492,3.0
1493,4.2
1494,3.8
1495,2.6
1496,4.2
1497,5.0
1498,4.2
1499,5.0
1500,4.2
1501,5.0
1502,4.6
1503,5.4
1504,4.0
1505,3.4
1506,5.0
1507,5.4
1508,2.6
1509,2.2
1510,3.0
1511,5.8
1512,4.6
1513,5.4
1514,3.8
1515,4.2
1516,5.0
1517,3.8
1518,3.4
1519,4.6
1520,5.0
1521,4.2
1522,5.4
1523,5.0
1524,3.4
1525,4.6
1526,3.8
1527,3.6666666666666665
1528,2.6666666666666665
1529,4.2
1530,3.8
1531,4.6
1532,5.8
1533,3.8
1534,2.6666666666666665
1535,5.0
1536,5.8
1537,3.4
1538,5.0
1539,4.6
1540,3.0
1541,3.4
1542,5.4
1543,4.2
1544,4.2
1545,4.2
1546,3.8
1547,3.8
1548,3.4
1549,2.6
1550,4.6
1551,5.4
1552,3.4
1553,3.8
1554,4.2
1555,3.0
1556,4.6
1557,3.4
1558,3.4
1559,3.8
1560,3.4
1561,4.6
1562,2.6
1563,4.2
1564,5.4
1565,5.0
1566,4.6
1567,2.3333333333333335
1568,4.2
1569,4.2
1570,3.8
1571,4.6
1572,2.6
1573,3.8
1574,4.2
1575,4.6
1576,3.8
1577,4.666666666666667
1578,5.4
1579,4.6
1580,4.2
1581,5.4
1582,3.8
1583,4.2
1584,4.2
1585,2.6666666666666665
1586,3.8
1587,3.4
1588,4.2
1589,4.6
1590,3.0
1591,3.0
1592,1.8
1593,5.8
1594,3.8
1595,5.0
1596,3.4
1597,4.6
1598,3.8
1599,5.4
1600,5.4
1601,2.6
1602,3.0
1603,3.8
1604,5.4
1605,3.8
1606,4.2
1607,4.6
1608,4.6
1609,3.4
1610,3.8
1611,3.0
1612,3.8
1613,4.2
1614,2.6
1615,3.4
1616,2.0
1617,5.4
1618,5.4
1619,3.4
1620,5.8
1621,3.0
1622,2.6
1623,3.0
1624,5.0
1625,3.8
1626,4.2
1627,2.3333333333333335
1628,4.6
1629,5.8
1630,3.8
1631,4.6
1632,3.8
1633,3.0
1634,5.0
1635,3.8
1636,5.4
1637,5.4
1638,4.6
1639,4.2
1640,3.8
1641,3.0
1642,5.4
1643,6.2
1644,3.8
1645,4.6
1646,4.2
1647,3.0
1648,4.2
1649,3.4
1650,2.6
1651,5.0
1652,4.2
1653,3.0
1654,3.4
1655,4.2
1656,5.0
1657,5.8
1658,4.6
1659,4.6
1660,2.2
1661,4.6
1662,3.0
1663,4.2
1664,5.0
1665,3.4
1666,5.0
1667,4.2
1668,4.2
1669,3.8
1670,5.0
1671,2.3333333333333335
1672,4.2
1673,5.0
1674,3.8
1675,3.8
1676,3.0
1677,3.8
1678,5.4
1679,4.6
1680,4.6
1681,5.0
1682,4.2
1683,3.4
1684,3.8
1685,3.0
1686,3.8
1687,5.4
1688,5.8
1689,4.6
1690,4.6
1691,4.2
1692,5.4
1693,3.8
1694,4.6
1695,3.8
1696,4.2
1697,5.0
1698,5.0
1699,3.8
1700,3.0
1701,3.4
1702,5.0
1703,4.6
1704,3.8
1705,4.2
1706,5.4
1707,3.3333333333333335
1708,3.4
1709,3.0
1710,3.0
1711,4.2
1712,4.6
1713,4.2
1714,4.2
1715,4.2
1716,5.0
1717,4.6
1718,4.2
1719,4.2
1720,4.6
1721,3.4
1722,3.4
1723,3.0
1724,3.0
1725,3.3333333333333335
1726,5.4
1727,3.4
1728,4.6
1729,4.6
1730,5.4
1731,3.8
1732,3.8
1733,3.4
1734,4.2
1735,3.8
1736,3.8
1737,5.4
1738,4.6
1739,4.2
1740,3.6666666666666665
1741,4.2
1742,3.4
1743,4.6
1744,4.6
1745,4.2
1746,4.2
1747,4.6
1748,3.0
1749,4.6
1750,4.6
1751,3.4
1752,3.0
1753,3.3333333333333335
1754,4.2
1755,4.2
1756,3.4
1757,5.0
1758,5.0
1759,4.2
1760,4.6
1761,3.8
1762,4.2
1763,3.4
1764,5.4
1765,2.6
1766,4.333333333333333
1767,4.2
1768,4.6
1769,3.8
1770,5.0
1771,3.8
1772,3.6666666666666665
1773,3.4
1774,4.0
1775,1.8
1776,4.2
1777,2.2
1778,4.2
1779,3.0
1780,4.0
1781,3.8
1782,4.2
1783,3.6666666666666665
1784,3.0
1785,4.2
1786,5.0
1787,4.6
1788,4.6
1789,5.0
1790,3.8
1791,3.8
1792,5.4
1793,3.0
1794,3.3333333333333335
1795,3.8
1796,4.2
1797,4.6
1798,5.0
1799,4.6
1800,3.4
1801,4.2
1802,3.8
1803,3.4
1804,4.6
1805,4.6
1806,4.2
1807,3.6666666666666665
1808,3.4
1809,4.666666666666667
1810,5.0
1811,3.4
1812,4.2
1813,5.0
1814,4.2
1815,5.0
1816,4.6
1817,4.6
1818,3.8
1819,1.8
1820,4.2
1821,5.8
1822,6.6
1823,3.8
1824,5.0
1825,4.2
1826,3.4
1827,4.6
1828,3.4
1829,3.4
1830,5.4
1831,4.0
1832,3.3333333333333335
1833,1.8
1834,4.2
1835,4.6
1836,5.4
1837,4.2
1838,5.0
1839,4.2
1840,5.4
1841,5.0
1842,1.8
1843,2.6
1844,3.8
1845,4.6
1846,3.4
1847,5.4
1848,3.0
1849,5.0
1850,5.8
1851,5.0
1852,5.0
1853,3.0
1854,3.8
1855,5.4
1856,4.2
1857,3.8
1858,5.0
1859,3.3333333333333335
1860,5.8
1861,4.6
1862,4.2
1863,3.8
1864,3.8
1865,2.6
1866,5.4
1867,3.8
1868,4.6
1869,3.8
1870,3.0
1871,3.8
1872,4.2
1873,4.6
1874,3.6666666666666665
1875,4.6
1876,3.0
1877,4.6
1878,3.4
1879,4.2
1880,3.4
1881,4.2
1882,3.8
1883,4.6
1884,3.4
1885,4.6
1886,5.0
1887,5.4
1888,3.4
1889,3.4
1890,3.4
1891,5.4
1892,2.2
1893,1.8
1894,4.6
1895,3.8
1896,3.0
1897,3.8
1898,5.4
1899,5.0
1900,4.6
1901,4.6
1902,3.4
1903,3.8
1904,4.6
1905,5.0
1906,3.8
1907,4.6
1908,4.6
1909,4.6
1910,4.2
1911,4.6
1912,5.0
1913,3.8
